Starting compute_accuracy with topN = 850
Sorted indices by anomaly score.
Top 850 indices after sorting:
idx[0] = 826, as[826] = 103259, attack[826] = 0
idx[1] = 827, as[827] = 103255, attack[827] = 0
idx[2] = 833, as[833] = 103223, attack[833] = 0
idx[3] = 802, as[802] = 103119, attack[802] = 0
idx[4] = 836, as[836] = 103094, attack[836] = 0
idx[5] = 810, as[810] = 103062, attack[810] = 0
idx[6] = 809, as[809] = 103016, attack[809] = 0
idx[7] = 854, as[854] = 102149, attack[854] = 0
idx[8] = 828, as[828] = 102009, attack[828] = 0
idx[9] = 807, as[807] = 101827, attack[807] = 0
idx[10] = 850, as[850] = 101800, attack[850] = 1
idx[11] = 830, as[830] = 101686, attack[830] = 0
idx[12] = 851, as[851] = 101681, attack[851] = 1
idx[13] = 829, as[829] = 101608, attack[829] = 0
idx[14] = 808, as[808] = 101541, attack[808] = 0
idx[15] = 815, as[815] = 101376, attack[815] = 0
idx[16] = 936, as[936] = 100272, attack[936] = 0
idx[17] = 840, as[840] = 98808.1, attack[840] = 1
idx[18] = 958, as[958] = 98161.2, attack[958] = 0
idx[19] = 692, as[692] = 96614.5, attack[692] = 1
idx[20] = 662, as[662] = 95279.8, attack[662] = 1
idx[21] = 659, as[659] = 94867.1, attack[659] = 1
idx[22] = 587, as[587] = 94762.8, attack[587] = 0
idx[23] = 619, as[619] = 94736.1, attack[619] = 1
idx[24] = 651, as[651] = 93458.6, attack[651] = 0
idx[25] = 926, as[926] = 93439.2, attack[926] = 0
idx[26] = 683, as[683] = 93121.3, attack[683] = 1
idx[27] = 594, as[594] = 93021.5, attack[594] = 0
idx[28] = 593, as[593] = 92856.1, attack[593] = 0
idx[29] = 682, as[682] = 92818.9, attack[682] = 1
idx[30] = 610, as[610] = 92721.1, attack[610] = 1
idx[31] = 599, as[599] = 92560.2, attack[599] = 0
idx[32] = 611, as[611] = 91921.9, attack[611] = 1
idx[33] = 595, as[595] = 91854.1, attack[595] = 0
idx[34] = 590, as[590] = 91823.4, attack[590] = 0
idx[35] = 613, as[613] = 91289.1, attack[613] = 1
idx[36] = 589, as[589] = 91170.2, attack[589] = 0
idx[37] = 614, as[614] = 91081.3, attack[614] = 1
idx[38] = 615, as[615] = 91056.2, attack[615] = 1
idx[39] = 688, as[688] = 91010.5, attack[688] = 0
idx[40] = 592, as[592] = 89975.4, attack[592] = 0
idx[41] = 636, as[636] = 89377.7, attack[636] = 1
idx[42] = 523, as[523] = 89012.5, attack[523] = 1
idx[43] = 514, as[514] = 88945.6, attack[514] = 0
idx[44] = 516, as[516] = 88741.4, attack[516] = 0
idx[45] = 517, as[517] = 88665.4, attack[517] = 0
idx[46] = 612, as[612] = 88115.8, attack[612] = 1
idx[47] = 664, as[664] = 88012.7, attack[664] = 1
idx[48] = 491, as[491] = 86813.6, attack[491] = 1
idx[49] = 493, as[493] = 86812.6, attack[493] = 1
idx[50] = 471, as[471] = 86350.9, attack[471] = 0
